房间	Room
嵩山金刚神雷	Songshan Vajra Divine Thunder Technique
鸿蒙七星真言	Primordial Seven Stars Mantra
玉虚飞星诀	Jade Void Shooting Star Art
勾陈流光诀	Gouchen Radiance Art
蜀山五气真言	Mount Shu Five Qi Mantra
嵩山流光神雷	Songshan Flowing Light Lightning
归真化伤咒	Returning Truth Healing Curse
造化镇神真言	Creation Spirit-Suppressing Mantra
乜氏通天咒	Nie Family Heaven-Reaching Curse
正一道	Zhengyi Dao
万妖殿的大能仲起灵已在南屏村失去了踪迹	The mighty Zhong Qiling of Ten Thousand Demons Hall has vanished without a trace at Nanping Village
据传丹霞洞天的大能鞠半雪在南屏村出没。	Rumors say the mighty Ju Banxue of Danxia Cave-Heaven has been spotted at Nanping Village.
紫霄宗的大能庾幻波已在南屏村失去了踪迹	The mighty Yu Huanbo of Violet Heaven Sect has vanished without a trace at Nanping Village
紫霄宗的大能年婷已在小凉山失去了踪迹	The mighty Nian Ting of Zixiao Sect has disappeared from Xiaoliang Mountain
据传紫霄宗的大能刁彬在南屏村出没。	It's said the mighty Diao Bin of Zixiao Sect has been spotted in Nanping Village.
据传七仟坞的大能缪伟彦在小凉山出没。	It's said the mighty Miao Weiyan of Qi Qian Wu has been spotted at Xiaoliang Mountain.
据传七仟坞的大能韦飞扬在南屏村出没。	It's said the mighty Feiyang of Qi Qian Wu has been spotted in Nanping Village.
七仟坞的大能汲杰已在铜陵山失去了踪迹	The mighty Ji Jie of Seven Thousand Docks has vanished without a trace at Tongling Mountain
正一道的大能金辰已在月轮山失去了踪迹	The mighty Jin Chen of Zhengyi Dao has disappeared from Moonwheel Mountain
青莲剑宗的大能富达已在铜陵山失去了踪迹	The mighty Fu Da of Azure Lotus Sword Sect has vanished without a trace at Tongling Mountain
据传七杀魔宫的大能戎裕在炼丹峰出没。	It's said the mighty Rong Yu of Qisha Demon Palace has been spotted at Alchemy Peak.
丹霞洞天的大能鞠半雪已在南屏村失去了踪迹	The mighty Ju Banxue of Danxia Cave-Heaven has vanished without a trace at Nanping Village
据传昆仑宫的大能古聪在炼丹峰出没。	It's said the mighty Gu Cong of Kunlun Palace has been spotted at Alchemy Peak.
据传极天宫的大能高心在炼丹峰出没。	It's said the mighty Gao Xin of Jitian Palace has been spotted at Alchemy Peak.
据传青莲剑宗的大能翟晶在月轮山出没。	It's said the mighty Zhai Jing of Qinglian Sword Sect has been spotted at Moonwheel Mountain.
紫霄宗的大能刁彬已在南屏村失去了踪迹	The mighty Diao Bin of Zixiao Sect has disappeared from Nanping Village
七仟坞的大能缪伟彦已在小凉山失去了踪迹	The mighty Miao Weiyan of Seven Thousand Docks has vanished without a trace at Little Cold Mountain
七仟坞的大能韦飞扬已在南屏村失去了踪迹	The mighty Wei Feiyang of Seven Thousand Docks has vanished without a trace at Nanping Village
据传万妖殿的大能屠雅芝在月轮山出没。	It's said the mighty Tu Yazhi of Wanyao Hall has been spotted at Moonwheel Mountain.
七杀魔宫的大能戎裕已在炼丹峰失去了踪迹	The mighty Rong Yu of Seven Kill Demon Palace has vanished without a trace at Alchemy Peak
据传栖霞洞天的大能柳修谨在小凉山出没。	Rumors say the mighty Liu Xiujin of Qixia Grotto has been spotted at Little Cold Mountain.
据传丹霞洞天的大能福岚在炼丹峰出没。	It's said the mighty Fu Lan of Danxia Grotto-Heaven has been spotted at Alchemy Peak.
昆仑宫的大能古聪已在炼丹峰失去了踪迹	The mighty Gu Cong of Kunlun Palace has disappeared from Alchemy Peak
极天宫的大能高心已在炼丹峰失去了踪迹	The mighty Gao Xin of Polar Sky Palace has vanished without a trace at Alchemy Peak
青莲剑宗的大能翟晶已在月轮山失去了踪迹	The mighty Zhai Jing of Azure Lotus Sword Sect has vanished without a trace at Lunar Cycle Mountain
宗发	Ancestral Rise
单于凤鸾	Chanyu Fengluan
江彪	Jiang Biao
祁盛	Qi Sheng
鞠倩	Ju Qian
文荣	Literary Glory
戎子石	Rong Zishi
尚易容	Shang Yirong
靳承	Jin Cheng
阴醉柳	Yin Zuiliu
汝初彤	Ru Chutong
庙	Shrine
唐巧	Tang Qiao
谭杰	Tan Jie
籍莺	Ji Ying
师咏	Master's Chant
蔚映容	Wei Yingrong
谈香春	Tan Xiangchun
蒙炎	Meng Yan
储起灵	Storage Qiling
程心	Cheng Xin
长孙蓉	Zhangsun Rong
